Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
31/01/2021,Barcelona,Ath Bilbao,2,1,1,6,2,1.36,5.25,7.5,H
01/02/2021,Betis,Osasuna,1,0,1,4,5,1.8,3.6,4.33,H
05/02/2021,Alaves,Valladolid,1,0,1,5,1,2.6,3.0,3.0,H
06/02/2021,Levante,Granada,2,2,0,7,5,2.2,3.3,3.4,D
06/02/2021,Huesca,Real Madrid,1,2,-1,2,7,7.0,4.5,1.44,A
06/02/2021,Elche,Villarreal,2,2,0,2,4,6.5,3.8,1.53,D
06/02/2021,Sevilla,Getafe,3,0,3,5,1,1.72,3.6,4.75,H
07/02/2021,Sociedad,Cadiz,4,1,3,6,1,1.45,4.2,8.0,H
07/02/2021,Ath Bilbao,Valencia,1,1,0,2,2,2.15,3.2,3.6,D
07/02/2021,Osasuna,Eibar,2,1,1,4,3,2.55,3.0,3.0,H
07/02/2021,Betis,Barcelona,2,3,-1,5,4,5.75,4.6,1.5,A
08/02/2021,Ath Madrid,Celta,2,2,0,2,2,1.6,3.6,6.5,D
09/02/2021,Real Madrid,Getafe,2,0,2,4,0,1.53,4.0,6.5,H
12/02/2021,Celta,Elche,3,1,2,6,2,1.45,4.2,8.0,H
13/02/2021,Granada,Ath Madrid,1,2,-1,1,4,5.0,3.3,1.8,A
13/02/2021,Sevilla,Huesca,1,0,1,4,5,1.5,3.9,7.5,H
13/02/2021,Eibar,Valladolid,1,1,0,2,1,1.95,3.3,4.2,D
13/02/2021,Barcelona,Alaves,5,1,4,9,2,1.28,6.0,9.0,H
14/02/2021,Getafe,Sociedad,0,1,-1,0,2,3.75,3.25,2.1,A
14/02/2021,Real Madrid,Valencia,2,0,2,7,1,1.4,4.75,8.0,H
14/02/2021,Levante,Osasuna,0,1,-1,4,2,2.25,3.2,3.4,A
14/02/2021,Villarreal,Betis,1,2,-1,5,4,1.9,3.4,4.2,A
15/02/2021,Cadiz,Ath Bilbao,0,4,-4,2,8,4.0,3.1,2.05,A
17/02/2021,Levante,Ath Madrid,1,1,0,4,6,4.75,3.4,1.8,D
19/02/2021,Betis,Getafe,1,0,1,5,1,2.05,3.1,4.1,H
20/02/2021,Elche,Eibar,1,0,1,2,3,3.6,3.25,2.15,H
20/02/2021,Ath Madrid,Levante,0,2,-2,11,1,1.53,4.0,7.0,A
20/02/2021,Valencia,Celta,2,0,2,3,2,2.45,3.2,3.0,H
20/02/2021,Valladolid,Real Madrid,0,1,-1,5,2,5.5,4.2,1.57,A
21/02/2021,Barcelona,Cadiz,1,1,0,4,1,1.16,8.0,13.0,D
21/02/2021,Sociedad,Alaves,4,0,4,4,2,1.66,3.75,5.5,H
21/02/2021,Huesca,Granada,3,2,1,6,5,2.15,3.3,3.5,H
21/02/2021,Ath Bilbao,Villarreal,1,1,0,8,2,2.45,3.2,3.0,D
22/02/2021,Osasuna,Sevilla,0,2,-2,0,5,4.0,3.3,2.0,A
24/02/2021,Barcelona,Elche,3,0,3,5,1,1.12,9.0,19.0,H
26/02/2021,Levante,Ath Bilbao,1,1,0,4,5,3.3,3.25,2.25,D
27/02/2021,Eibar,Huesca,1,1,0,3,1,2.15,3.3,3.5,D
27/02/2021,Sevilla,Barcelona,0,2,-2,2,5,3.2,3.5,2.2,A
27/02/2021,Alaves,Osasuna,0,1,-1,1,3,2.62,2.9,3.0,A
27/02/2021,Getafe,Valencia,3,0,3,4,0,2.5,3.0,3.1,H
28/02/2021,Celta,Valladolid,1,1,0,2,3,1.75,3.75,4.5,D
28/02/2021,Cadiz,Betis,0,1,-1,3,4,3.8,3.3,2.05,A
28/02/2021,Granada,Elche,2,1,1,4,4,2.1,3.1,4.0,H
28/02/2021,Villarreal,Ath Madrid,0,2,-2,6,5,3.2,3.1,2.45,A
