Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
20/12/2020,Torino,Bologna,1.0,1.0,0.0,5.0,9.0,2.6,3.5,2.6,D
20/12/2020,Benevento,Genoa,2.0,0.0,2.0,3.0,2.0,2.3,3.4,3.1,H
20/12/2020,Cagliari,Udinese,1.0,1.0,0.0,3.0,5.0,3.0,3.4,2.37,D
20/12/2020,Inter,Spezia,2.0,1.0,1.0,4.0,1.0,1.22,6.5,12.0,H
20/12/2020,Sassuolo,Milan,1.0,2.0,-1.0,5.0,5.0,3.6,4.0,1.9,A
20/12/2020,Atalanta,Roma,4.0,1.0,3.0,8.0,4.0,2.25,3.75,2.9,H
20/12/2020,Lazio,Napoli,2.0,0.0,2.0,2.0,6.0,2.87,3.4,2.45,H
22/12/2020,Crotone,Parma,2.0,1.0,1.0,6.0,7.0,2.62,3.4,2.62,H
22/12/2020,Juventus,Fiorentina,0.0,3.0,-3.0,3.0,6.0,1.3,5.5,9.0,A
23/12/2020,Verona,Inter,1.0,2.0,-1.0,2.0,5.0,6.0,4.0,1.57,A
23/12/2020,Bologna,Atalanta,2.0,2.0,0.0,5.0,6.0,5.0,4.2,1.61,D
23/12/2020,Milan,Lazio,3.0,2.0,1.0,5.0,9.0,2.2,3.75,3.0,H
23/12/2020,Napoli,Torino,1.0,1.0,0.0,6.0,3.0,1.36,5.25,8.0,D
23/12/2020,Roma,Cagliari,3.0,2.0,1.0,9.0,3.0,1.28,5.75,10.0,H
23/12/2020,Sampdoria,Sassuolo,2.0,3.0,-1.0,6.0,8.0,2.6,3.6,2.6,A
23/12/2020,Spezia,Genoa,1.0,2.0,-1.0,5.0,6.0,2.15,3.5,3.3,A
23/12/2020,Udinese,Benevento,0.0,2.0,-2.0,2.0,2.0,1.85,3.4,4.5,A
03/01/2021,Inter,Crotone,6.0,2.0,4.0,8.0,4.0,1.2,7.0,12.0,H
03/01/2021,Atalanta,Sassuolo,5.0,1.0,4.0,8.0,4.0,1.5,4.5,5.5,H
03/01/2021,Cagliari,Napoli,1.0,4.0,-3.0,1.0,12.0,7.0,4.33,1.45,A
03/01/2021,Fiorentina,Bologna,0.0,0.0,0.0,1.0,4.0,2.1,3.4,3.4,D
03/01/2021,Genoa,Lazio,1.0,1.0,0.0,3.0,4.0,5.25,4.0,1.61,D
03/01/2021,Parma,Torino,0.0,3.0,-3.0,6.0,8.0,2.75,3.2,2.6,A
03/01/2021,Roma,Sampdoria,1.0,0.0,1.0,8.0,2.0,1.45,4.75,6.0,H
03/01/2021,Spezia,Verona,0.0,1.0,-1.0,1.0,4.0,2.9,3.4,2.37,A
