Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
06/02/2021,Schalke 04,RB Leipzig,0,3,-3,1,10,9.0,5.75,1.3,A
06/02/2021,M'gladbach,FC Koln,1,2,-1,2,3,1.45,4.5,6.5,A
07/02/2021,Hoffenheim,Ein Frankfurt,1,3,-2,2,5,2.9,3.8,2.25,A
12/02/2021,RB Leipzig,Augsburg,2,1,1,6,2,1.22,6.5,11.0,H
13/02/2021,Dortmund,Hoffenheim,2,2,0,3,6,1.45,4.8,6.25,D
13/02/2021,Leverkusen,Mainz,2,2,0,5,6,1.4,5.0,6.5,D
13/02/2021,Stuttgart,Hertha,1,1,0,3,3,2.15,3.6,3.1,D
13/02/2021,Werder Bremen,Freiburg,0,0,0,4,2,2.8,3.3,2.45,D
13/02/2021,Union Berlin,Schalke 04,0,0,0,3,1,1.75,3.6,5.0,D
14/02/2021,Ein Frankfurt,FC Koln,2,0,2,7,1,1.45,4.5,7.0,H
14/02/2021,Wolfsburg,M'gladbach,0,0,0,6,4,2.37,3.5,2.9,D
15/02/2021,Bayern Munich,Bielefeld,3,3,0,11,3,1.1,9.0,21.0,D
19/02/2021,Bielefeld,Wolfsburg,0,3,-3,2,6,5.5,3.75,1.65,A
20/02/2021,Ein Frankfurt,Bayern Munich,2,1,1,6,6,4.0,4.33,1.75,H
20/02/2021,FC Koln,Stuttgart,0,1,-1,0,3,3.5,3.6,2.05,A
20/02/2021,Freiburg,Union Berlin,0,1,-1,1,4,2.4,3.2,3.1,A
20/02/2021,M'gladbach,Mainz,1,2,-1,3,6,1.61,4.0,5.25,A
20/02/2021,Schalke 04,Dortmund,0,4,-4,2,6,9.0,5.75,1.3,A
21/02/2021,Augsburg,Leverkusen,1,1,0,3,3,5.5,4.0,1.61,D
21/02/2021,Hertha,RB Leipzig,0,3,-3,4,7,5.25,3.9,1.65,A
21/02/2021,Hoffenheim,Werder Bremen,4,0,4,6,1,2.05,3.6,3.5,H
26/02/2021,Werder Bremen,Ein Frankfurt,2,1,1,5,4,4.33,3.8,1.75,H
27/02/2021,Bayern Munich,FC Koln,5,1,4,7,3,1.16,7.5,15.0,H
27/02/2021,Dortmund,Bielefeld,3,0,3,9,2,1.18,7.0,15.0,H
27/02/2021,Stuttgart,Schalke 04,5,1,4,10,5,1.45,4.5,6.5,H
27/02/2021,Wolfsburg,Hertha,2,0,2,2,2,1.7,4.0,4.75,H
27/02/2021,RB Leipzig,M'gladbach,3,2,1,11,2,1.6,4.2,5.25,H
28/02/2021,Union Berlin,Hoffenheim,1,1,0,1,4,2.37,3.5,2.9,D
28/02/2021,Mainz,Augsburg,0,1,-1,5,3,2.0,3.6,3.6,A
28/02/2021,Leverkusen,Freiburg,1,2,-1,5,3,1.8,3.6,4.5,A
05/03/2021,Schalke 04,Mainz,0,0,0,2,2,3.6,3.6,2.0,D
06/03/2021,Ein Frankfurt,Stuttgart,1,1,0,8,1,1.95,3.75,3.75,D
06/03/2021,Freiburg,RB Leipzig,0,3,-3,1,8,5.0,4.0,1.66,A
06/03/2021,Hertha,Augsburg,2,1,1,7,4,1.9,3.5,4.1,H
06/03/2021,Hoffenheim,Wolfsburg,2,1,1,4,5,2.9,3.4,2.4,H
06/03/2021,M'gladbach,Leverkusen,0,1,-1,3,5,2.55,3.6,2.6,A
06/03/2021,Bayern Munich,Dortmund,4,2,2,9,3,1.65,4.5,4.5,H
07/03/2021,FC Koln,Werder Bremen,1,1,0,4,5,2.9,3.25,2.5,D
07/03/2021,Bielefeld,Union Berlin,0,0,0,3,3,4.0,3.5,1.9,D
10/03/2021,Bielefeld,Werder Bremen,0,2,-2,7,2,3.3,3.3,2.2,A
12/03/2021,Augsburg,M'gladbach,3,1,2,3,7,4.0,3.8,1.85,H
13/03/2021,Mainz,Freiburg,1,0,1,7,3,2.55,3.5,2.62,H
13/03/2021,Union Berlin,FC Koln,2,1,1,8,5,1.9,3.5,4.2,H
13/03/2021,Werder Bremen,Bayern Munich,1,3,-2,4,6,10.0,6.5,1.25,A
13/03/2021,Wolfsburg,Schalke 04,5,0,5,7,2,1.33,5.25,9.0,H
